node_id,lon,lat
371,-122.2607019,37.7767193
372,-122.2321807,37.7543504
373,-122.2522753,37.7771875
374,-122.2878673,37.7804545
375,-122.2882086,37.7848614
376,-122.2866719,37.78925
377,-122.2884552,37.7877951
378,-122.2889624,37.7869887
379,-122.2654091,37.7806651
380,-122.2650367,37.7832115
381,-122.247158,37.7604455
382,-122.2465598,37.7613112
383,-122.245955,37.7621785
384,-122.245356,37.7630442
385,-122.2441688,37.7647822
386,-122.2419242,37.7680357
387,-122.2413241,37.7689046
388,-122.2407153,37.7697656
389,-122.2401284,37.7706402
390,-122.2816698,37.7715555
391,-122.2816479,37.7721222
392,-122.2607078,37.7625766
393,-122.2605576,37.7630664
394,-122.2566301,37.772578
395,-122.2557208,37.7721815
396,-122.2389718,37.75189
397,-122.2377776,37.7529781
398,-122.2371909,37.7535162
399,-122.2359987,37.7545887
400,-122.2354065,37.7551274
401,-122.2333963,37.7569453
402,-122.2325105,37.7577437
403,-122.2319787,37.7582288
404,-122.230586,37.7594858
405,-122.2296732,37.7603073
406,-122.2291644,37.7607713
407,-122.2284527,37.7614125
408,-122.2277569,37.762043
409,-122.2410827,37.7551998
410,-122.23885,37.7575244
411,-122.285944,37.7739772
412,-122.2849838,37.7739518
413,-122.2766461,37.7772294
414,-122.2725888,37.7771469
415,-122.2715057,37.7771202
416,-122.269315,37.7770752
417,-122.2678606,37.7770309
418,-122.2657946,37.7769411
419,-122.2631835,37.7768254
420,-122.2585968,37.7763634
421,-122.2550034,37.7748603
422,-122.2541357,37.7744768
423,-122.2524238,37.773735
424,-122.2515876,37.7733715
425,-122.2507514,37.7730052
426,-122.2499106,37.7726421
427,-122.2470285,37.7713875
428,-122.2455654,37.7707583
429,-122.2441726,37.7701451
430,-122.2432339,37.7697391
431,-122.2395501,37.7681301
432,-122.2354803,37.7657204
433,-122.2347803,37.7653546
434,-122.2337966,37.7648387
435,-122.2330711,37.7644423
436,-122.2949535,37.7767524
437,-122.3033917,37.788795
438,-122.3035674,37.7866545
439,-122.3037158,37.7848445
440,-122.2430877,37.7537292
441,-122.2424905,37.7543484
442,-122.2415535,37.7554755
443,-122.2395539,37.7578814
444,-122.2384688,37.7592125
445,-122.234891,37.7635215
446,-122.2320496,37.7669416
447,-122.2314966,37.7675428
448,-122.2544039,37.7757269
449,-122.2535342,37.77535
450,-122.2518257,37.7746016
451,-122.2509928,37.7742378
452,-122.2501519,37.7738723
453,-122.2493111,37.7735114
454,-122.2464277,37.7722562
455,-122.2766063,37.7782091
456,-122.272543,37.7781161
457,-122.2692617,37.7780672
458,-122.2678188,37.7780207
459,-122.2657222,37.7779295
460,-122.2631276,37.7778104
461,-122.2346333,37.7667505
462,-122.2339159,37.7663745
463,-122.2714064,37.7694438
464,-122.2660105,37.7693166
465,-122.2635167,37.7692584
466,-122.2587799,37.7677566
467,-122.2570707,37.7670137
468,-122.2553943,37.7662804
469,-122.2545467,37.7659104
470,-122.2516738,37.7646618
471,-122.2488162,37.7634205
472,-122.2449214,37.7617266
473,-122.2503892,37.7543851
474,-122.2484259,37.7575556
475,-122.2463067,37.760076
476,-122.245616,37.7608974
477,-122.2442393,37.7625384
478,-122.2428468,37.7642073
479,-122.2381674,37.7697744
480,-122.2916112,37.7832945
481,-122.2726525,37.7753162
482,-122.2726275,37.7761566
483,-122.2715777,37.7661614
484,-122.2728167,37.7713279
485,-122.2727122,37.7741541
486,-122.3021213,37.7865785
487,-122.2635832,37.767468
488,-122.2599742,37.76602
489,-122.2582643,37.765279
490,-122.2565879,37.7645432
491,-122.2557437,37.7641806
492,-122.2528678,37.7629294
493,-122.2500122,37.761689
494,-122.249075,37.7612757
495,-122.248096,37.7608526
496,-122.2926359,37.7832561
497,-122.2423648,37.753322
498,-122.2418304,37.7529885
499,-122.2410734,37.752456
500,-122.229499,37.7674946
501,-122.2276725,37.7662912
502,-122.2258783,37.7630321
503,-122.2299782,37.7548477
504,-122.2664816,37.7820748
505,-122.2370133,37.7524472
506,-122.2352363,37.7540501
