start_nid,end_nid,link_type,length,lanes,maxspeed,geometry,maxmph,fft,link_id
1860,1864,service,22.141,1,25,"LINESTRING(-122.29170214999999 37.7716287, -122.29175035 37.77110315)",25,1.9815438160348042,146
1196,1910,service,22.329,1,25,"LINESTRING(-122.2875795 37.7682102, -122.28720566666668 37.7680191)",25,1.9983691733996272,147
1910,1196,service,22.329,1,25,"LINESTRING(-122.28720566666668 37.7680191, -122.2875795 37.7682102)",25,1.9983691733996272,148
1456,1978,service,22.395,1,25,"LINESTRING(-122.2842224 37.7767253, -122.28447854999999 37.776813000000004)",25,2.0042759477936607,149
1978,1456,service,22.395,1,25,"LINESTRING(-122.28447854999999 37.776813000000004, -122.2842224 37.7767253)",25,2.0042759477936607,150
1051,1049,service,22.399,1,25,"LINESTRING(-122.2817695 37.777353, -122.2817818 37.7771518)",25,2.004633934120572,151
1049,1051,service,22.399,1,25,"LINESTRING(-122.2817818 37.7771518, -122.2817695 37.777353)",25,2.004633934120572,152
1134,1200,primary,22.404999999999998,5,25,"LINESTRING(-122.2765725 37.7792352, -122.2765784000000053 37.7791291999999999, -122.2765838 37.7790339)",25,2.005170913610938,153
1200,1134,primary,22.405,5,25,"LINESTRING(-122.2765838 37.7790339, -122.2765808000000050 37.7790877999999992, -122.2765725 37.7792352)",25,2.0051709136109386,154
1731,2038,residential,22.429000000000002,1,25,"LINESTRING(-122.2800312 37.7913029, -122.2799406999999974 37.7912865999999994, -122.27976035 37.79131675)",25,2.0073188315724053,155
2038,1731,residential,22.429000000000002,1,25,"LINESTRING(-122.27976035 37.79131675, -122.2798415999999975 37.7912614999999974, -122.2800312 37.7913029)",25,2.0073188315724053,156
989,990,service,22.506,1,25,"LINESTRING(-122.2900106 37.7844474, -122.29001 37.7846498)",25,2.0142100683654443,157
990,989,service,22.506,1,25,"LINESTRING(-122.29001 37.7846498, -122.2900106 37.7844474)",25,2.0142100683654443,158
477,1071,secondary,22.506999999999998,1,25,"LINESTRING(-122.2442393 37.7625384, -122.2443058000000065 37.7624609000000007, -122.2443823 37.7623705)",25,2.014299564947172,159
1071,477,secondary,22.506999999999998,1,25,"LINESTRING(-122.2443823 37.7623705, -122.2443528999999955 37.7624052999999975, -122.2442393 37.7625384)",25,2.014299564947172,160
2033,1287,service,22.588,1,25,"LINESTRING(-122.29838475 37.782042399999995, -122.2986358 37.782114)",25,2.021548788067123,161
1287,2033,service,22.588,1,25,"LINESTRING(-122.2986358 37.782114, -122.29838475 37.782042399999995)",25,2.021548788067123,162
1035,1034,service,22.599,1,25,"LINESTRING(-122.2383828 37.7712368, -122.2385069 37.7710588)",25,2.022533250466128,163
1034,1035,service,22.599,1,25,"LINESTRING(-122.2385069 37.7710588, -122.2383828 37.7712368)",25,2.022533250466128,164
802,1908,service,22.626,1,25,"LINESTRING(-122.2726577 37.7800593, -122.2727465 37.780246700000006)",25,2.0249496581727784,165
1908,802,service,22.626,1,25,"LINESTRING(-122.2727465 37.780246700000006, -122.2726577 37.7800593)",25,2.0249496581727784,166
40,1345,tertiary,22.662,1,25,"LINESTRING(-122.291399 37.7848911, -122.2913988 37.7846873)",25,2.028171535114978,167
1345,40,tertiary,22.662,1,25,"LINESTRING(-122.2913988 37.7846873, -122.291399 37.7848911)",25,2.028171535114978,168
884,1847,"['residential', 'living_street']",22.709,1,25,"LINESTRING(-122.2840255 37.7817435, -122.28372875 37.7817421)",25,2.032377874456184,169
1847,884,"['residential', 'living_street']",22.709,1,25,"LINESTRING(-122.28372875 37.7817421, -122.2840255 37.7817435)",25,2.032377874456184,170
1545,1544,service,22.742,1,25,"LINESTRING(-122.24564 37.7722475, -122.2458671 37.7723455)",25,2.035331261653201,171
1544,1545,service,22.742,1,25,"LINESTRING(-122.2458671 37.7723455, -122.24564 37.7722475)",25,2.035331261653201,172
1228,1199,residential,22.745,2,25,"LINESTRING(-122.2980174 37.7863132, -122.2980002 37.7865173)",25,2.0355997513983843,173
1199,1228,residential,22.745,2,25,"LINESTRING(-122.2980002 37.7865173, -122.2980174 37.7863132)",25,2.0355997513983843,174
1877,17,residential,22.747999999999998,1,25,"LINESTRING(-122.27726193333332 37.77239016666667, -122.2768413 37.7723877)",25,2.035868241143567,175
17,1877,residential,22.747999999999998,1,25,"LINESTRING(-122.2768413 37.7723877, -122.27726193333332 37.77239016666667)",25,2.035868241143567,176
1775,1798,secondary,22.748,1,25,"LINESTRING(-122.23306196666665 37.7674045, -122.2330297999999971 37.7675514000000021, -122.23316080000001 37.767704825)",25,2.0358682411435676,177
1535,1534,service,22.762,1,25,"LINESTRING(-122.2412091 37.7694819, -122.2409823 37.7693831)",25,2.0371211932877564,178
1534,1535,service,22.762,1,25,"LINESTRING(-122.2409823 37.7693831, -122.2412091 37.7694819)",25,2.0371211932877564,179
2072,1397,residential,22.765,1,25,"LINESTRING(-122.27530973333334 37.777144299999996, -122.2749956 37.7771893)",25,2.0373896830329397,180
1397,2072,residential,22.765,1,25,"LINESTRING(-122.2749956 37.7771893, -122.27530973333334 37.777144299999996)",25,2.0373896830329397,181
1484,1485,service,22.809,1,25,"LINESTRING(-122.2419897 37.7671962, -122.2421059 37.7670128)",25,2.041327532628962,182
1485,1484,service,22.809,1,25,"LINESTRING(-122.2421059 37.7670128, -122.2419897 37.7671962)",25,2.041327532628962,183
1780,1826,service,22.822,1,25,"LINESTRING(-122.27485519999999 37.786592, -122.2746482 37.786797699999994)",25,2.0424909881914233,184
1826,1780,service,22.822,1,25,"LINESTRING(-122.2746482 37.786797699999994, -122.27485519999999 37.786592)",25,2.0424909881914233,185
1323,330,tertiary,22.829,1,25,"LINESTRING(-122.2863655 37.769184, -122.2861958 37.7693386)",25,2.043117464263518,186
330,1323,tertiary,22.829,1,25,"LINESTRING(-122.2861958 37.7693386, -122.2863655 37.769184)",25,2.043117464263518,187
2002,2001,service,22.843,1,25,"LINESTRING(-122.23987475 37.766383399999995, -122.2397713999999951 37.7663535000000010, -122.2396386 37.766266099999996)",25,2.044370416407707,188
1038,1036,service,22.875999999999998,1,25,"LINESTRING(-122.2388884 37.7714599, -122.2390107 37.7712783)",25,2.047323803604723,189
1036,1038,service,22.875999999999998,1,25,"LINESTRING(-122.2390107 37.7712783, -122.2388884 37.7714599)",25,2.047323803604723,190
775,776,unclassified,22.911,1,25,"LINESTRING(-122.2730552 37.7659027, -122.2728406 37.7657916)",25,2.050456183965196,191
274,159,residential,22.941,1,25,"LINESTRING(-122.2805528 37.7787473, -122.2802918 37.778744)",25,2.0531410814170292,192
159,274,residential,22.941,1,25,"LINESTRING(-122.2802918 37.778744, -122.2805528 37.7787473)",25,2.0531410814170292,193
1419,1418,service,22.981,1,25,"LINESTRING(-122.2754732 37.775892, -122.2757345 37.7758995)",25,2.0567209446861408,194
1418,1419,service,22.981,1,25,"LINESTRING(-122.2757345 37.7758995, -122.2754732 37.775892)",25,2.0567209446861408,195
1818,2062,residential,23.037,2,25,"LINESTRING(-122.29783685000001 37.7884495, -122.2978173000000055 37.7885473999999988, -122.2977934000000033 37.7885881999999995, -122.29762715000001 37.7887494)",25,2.061732753262896,196
2062,1818,residential,23.037,2,25,"LINESTRING(-122.29762715000001 37.7887494, -122.2977599000000026 37.7886270999999994, -122.2977934000000033 37.7885881999999995, -122.29783685000001 37.7884495)",25,2.061732753262896,197
2021,1912,tertiary,23.039,1,25,"LINESTRING(-122.3011323 37.783137749999995, -122.3014038 37.7830127)",25,2.061911746426352,198
1912,2021,tertiary,23.039,1,25,"LINESTRING(-122.3014038 37.7830127, -122.3011323 37.783137749999995)",25,2.061911746426352,199
